Region Name,FBN,CloudForge NHO,CloudForge PFHO,CloudForge  Change Freeze,CloudForge NEA,Build Status,Cluster,AZ,Site,Build Type ID,Build ID,CloudForge NBD,Snapshot Day,Build Type,CloudForge Due Date,DataWare House Update Date
US-EAST,IAD130CONP01,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD7,IAD130,CON,IAD130CONP01.001,6/9/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD100ROMP01,11/16/2020 12:00,10/19/2020 12:00,7/6/2020 12:00,9/21/2020 12:00,TRIGGERED,IAD,IAD7,IAD100,ROM,IAD100ROMP01.001,8/24/2020 12:00,8/16/2020,Room Build,9/15/2020,8/17/2020
US-EAST,IAD055RWKH10,7/12/2020 12:00,,,,TRIGGERED,IAD,IAD55,IAD55,RWK,IAD055RWKH10.001,2/28/2020 12:00,8/16/2020,Rework Build,,8/17/2020
EMEA,DUB009CONP24,8/10/2020 12:00,8/10/2020 12:00,,8/3/2020 12:00,PIRPED,DUB,DUB2,DUB9,CON,DUB009CONP24.001,12/31/2020 12:00,8/16/2020,Conversion Build,10/8/2020,8/17/2020
APJC,BOM061COLP02,12/25/2020 12:00,12/11/2020 12:00,9/11/2020 12:00,11/13/2020 12:00,TRIGGERED,BOM,BOM54,BOM61,COL,BOM061COLP02.001,4/12/2021 12:00,8/16/2020,Colo Room Build,6/1/2023,8/17/2020
US-WEST,PDX090ROMP11,10/19/2020 12:00,9/8/2020 12:00,6/9/2020 12:00,8/10/2020 12:00,TRIGGERED,PDX,PDX4,PDX90,ROM,PDX090ROMP11.001,8/10/2020 12:00,8/16/2020,Room Build,9/15/2020,8/17/2020
US-WEST,CMH056ROMP02,9/14/2020 12:00,8/31/2020 12:00,6/1/2020 12:00,8/3/2020 12:00,TRIGGERED,CMH,CMH50,CMH56,ROM,CMH056ROMP02.001,9/21/2020 12:00,8/16/2020,Room Build,8/18/2020,8/17/2020
EMEA,DUB058ROMP02,9/28/2020 12:00,9/21/2020 12:00,6/22/2020 12:00,8/21/2020 12:00,TRIGGERED,DUB,DUB8,DUB58,ROM,DUB058ROMP02.001,8/10/2020 12:00,8/16/2020,Room Build,1/5/2021,8/17/2020
EMEA,DUB008INFP28,7/31/2019 12:00,,,,PENDING_PIRP,DUB,DUB8,DUB8,INF,DUB008INFP28.001,8/16/2019 12:00,8/16/2020,Infill Build,1/25/2021,8/17/2020
EMEA,FRA082COLP01,10/9/2020 12:00,9/25/2020 12:00,6/5/2020 12:00,8/28/2020 12:00,TRIGGERED,FRA,FRA52,FRA82,COL,FRA082COLP01.001,9/21/2020 12:00,8/16/2020,Colo Room Build,11/9/2021,8/17/2020
APJC,ZHY050RWKP06,8/28/2020 12:00,8/28/2020 12:00,,8/28/2020 12:00,PIRPED,ZHY,ZHY50,ZHY50,RWK,ZHY050RWKP06.001,6/26/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD088INFP60,8/12/2020 12:00,,,,PIRPED,IAD,IAD12,IAD88,INF,IAD088INFP60.001,8/12/2020 12:00,8/16/2020,Infill Build,1/25/2021,8/17/2020
US-EAST,IAD013INFP20,10/1/2020 12:00,10/1/2020 12:00,,10/1/2020 12:00,PIRPED,IAD,IAD6,IAD13,INF,IAD013INFP20.001,6/1/2019 12:00,8/16/2020,Infill Build,1/25/2021,8/17/2020
US-EAST,IAD091INRP02,11/22/2019 12:00,,,,PENDING_PIRP,IAD,IAD12,IAD91,INR,IAD091INRP02.001,11/22/2019 12:00,8/16/2020,End of row infills,,8/17/2020
US-WEST,PDX091ROMP05,12/7/2020 12:00,11/23/2020 12:00,8/24/2020 12:00,10/26/2020 12:00,TRIGGERED,PDX,PDX4,PDX91,ROM,PDX091ROMP05.001,9/21/2020 12:00,8/16/2020,Room Build,11/17/2020,8/17/2020
US-EAST,IAD090CONP21,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD12,IAD90,CON,IAD090CONP21.001,9/6/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
APJC,SYD062COLP04,10/30/2020 12:00,10/16/2020 12:00,7/24/2020 12:00,9/18/2020 12:00,TRIGGERED,SYD,SYD6,SYD62,COL,SYD062COLP04.001,8/10/2020 12:00,8/16/2020,Colo Room Build,8/1/2020,8/17/2020
US-WEST,SFO009RWKJ05,1/1/2020 12:00,,,,TRIGGERED,SFO,SFO9,SFO9,RWK,SFO009RWKJ05.001,6/16/2019 12:00,8/16/2020,Rework Build,,8/17/2020
APJC,CGK060ROMP01,11/26/2020 12:00,10/29/2020 12:00,7/16/2020 12:00,9/14/2020 12:00,TRIGGERED,CGK,CGK60,CGK60,ROM,CGK060ROMP01.001,9/7/2020 12:00,8/16/2020,Room Build,7/19/2021,8/17/2020
US-EAST,IAD145CONP03,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD12,IAD145,CON,IAD145CONP03.001,4/3/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD059RWKP03,8/31/2020 12:00,,,,PENDING_PIRP,IAD,IAD7,IAD59,RWK,IAD059RWKP03.001,8/31/2020 12:00,8/16/2020,Rework Build,,8/17/2020
EMEA,DUB050INFP42,8/21/2020 12:00,8/21/2020 12:00,,8/21/2020 12:00,PIRPED,DUB,DUB4,DUB50,INF,DUB050INFP42.001,7/31/2020 12:00,8/16/2020,Infill Build,1/4/2021,8/17/2020
US-WEST,CMH055INFP01,8/21/2020 12:00,7/17/2020 12:00,,7/17/2020 12:00,PIRPED,CMH,CMH52,CMH55,INF,CMH055INFP01.001,5/1/2020 12:00,8/16/2020,Infill Build,1/4/2021,8/17/2020
US-EAST,IAD131ROMP07,10/19/2020 12:00,10/5/2020 12:00,7/6/2020 12:00,8/31/2020 12:00,TRIGGERED,IAD,IAD7,IAD131,ROM,IAD131ROMP07.001,8/10/2020 12:00,8/16/2020,Room Build,10/27/2020,8/17/2020
US-EAST,IAD024RWKK08,10/9/2020 12:00,,,,TRIGGERED,IAD,IAD7,IAD24,RWK,IAD024RWKK08.001,10/11/2020 12:00,8/16/2020,Rework Build,,8/17/2020
EMEA,DUB050RWKK299,9/30/2020 12:00,,,,TRIGGERED,DUB,DUB4,DUB50,RWK,DUB050RWKK299.001,10/11/2020 12:00,8/16/2020,Rework Build,,8/17/2020
EMEA,LHR053RWKP01,8/7/2020 12:00,,,,PIRPED,LHR,LHR53,LHR53,RWK,LHR053RWKP01.001,8/7/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD118CONP01,10/19/2020 12:00,,,,PIRPED,IAD,IAD6,IAD118,CON,IAD118CONP01.001,8/14/2020 12:00,8/16/2020,Conversion Build,10/27/2020,8/17/2020
US-EAST,IAD058INFP60,8/17/2020 12:00,,,,PENDING_PIRP,IAD,IAD12,IAD58,INF,IAD058INFP60.001,8/17/2020 12:00,8/16/2020,Infill Build,2/8/2021,8/17/2020
US-EAST,IAD057CONP04,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD12,IAD57,CON,IAD057CONP04.001,5/15/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD012CONP26,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD12,IAD12,CON,IAD012CONP26.001,5/31/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD013RWKP94,10/16/2020 12:00,,,,PIRPED,IAD,IAD6,IAD13,RWK,IAD013RWKP94.001,10/16/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-WEST,PDT065ROMP01,9/11/2020 12:00,8/10/2020 12:00,4/27/2020 12:00,7/14/2020 12:00,TRIGGERED,PDT,PDT2,PDT65,ROM,PDT065ROMP01.001,8/10/2020 12:00,8/16/2020,Room Build,10/13/2020,8/17/2020
US-EAST,IAD150INFP08,9/9/2020 12:00,,,,PIRPED,IAD,IAD1,IAD150,INF,IAD150INFP08.001,9/30/2020 12:00,8/16/2020,Infill Build,1/22/2021,8/17/2020
US-EAST,IAD068CONP03,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD62,IAD68,CON,IAD068CONP03.001,9/1/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD081CONP05,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD62,IAD81,CON,IAD081CONP05.001,7/31/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
EMEA,DUB060INFP09,8/21/2020 12:00,8/21/2020 12:00,,8/21/2020 12:00,PIRPED,DUB,DUB8,DUB60,INF,DUB060INFP09.001,8/21/2020 12:00,8/16/2020,Infill Build,1/4/2021,8/17/2020
EMEA,FRA056COLP11,7/10/2020 12:00,6/22/2020 12:00,3/23/2020 12:00,5/22/2020 12:00,TRIGGERED,FRA,FRA52,FRA56,COL,FRA056COLP11.001,7/20/2020 12:00,8/16/2020,Colo Room Build,9/6/2019,8/17/2020
US-EAST,IAD133CONP02,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD7,IAD133,CON,IAD133CONP02.001,6/9/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD051RWKP82,8/31/2020 12:00,,,,PENDING_PIRP,IAD,IAD12,IAD51,RWK,IAD051RWKP82.001,8/31/2020 12:00,8/16/2020,Rework Build,,8/17/2020
APJC,SIN002RWKP06,5/31/2019 12:00,,,,PENDING_PIRP,SIN,SIN2,SIN2,RWK,SIN002RWKP06.001,5/31/2019 12:00,8/16/2020,Rework Build,,8/17/2020
EMEA,LHR064COLP01,10/21/2020 12:00,10/7/2020 12:00,6/17/2020 12:00,8/26/2020 12:00,TRIGGERED,LHR,LHR54,LHR64,COL,LHR064COLP01.001,8/24/2020 12:00,8/16/2020,Colo Room Build,12/11/2020,8/17/2020
US-EAST,IAD024RWKL08,10/9/2020 12:00,,,,TRIGGERED,IAD,IAD7,IAD24,RWK,IAD024RWKL08.001,10/11/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD001RWKL01,9/30/2020 12:00,,,,TRIGGERED,IAD,IAD1,IAD1,RWK,IAD001RWKL01.001,10/11/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD051INFP12,9/11/2020 12:00,9/11/2020 12:00,,8/21/2020 12:00,PENDING_PIRP,IAD,IAD12,IAD51,INF,IAD051INFP12.001,6/30/2020 12:00,8/16/2020,Infill Build,1/25/2021,8/17/2020
US-EAST,IAD085INFP08,8/21/2020 12:00,8/21/2020 12:00,,8/21/2020 12:00,PIRPED,IAD,IAD7,IAD85,INF,IAD085INFP08.001,6/26/2020 12:00,8/16/2020,Infill Build,1/25/2021,8/17/2020
US-EAST,IAD063CONP04,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD1,IAD63,CON,IAD063CONP04.001,6/1/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD007RWKM01,9/30/2020 12:00,,,,TRIGGERED,IAD,IAD7,IAD7,RWK,IAD007RWKM01.001,10/11/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD118ROMP06,10/19/2020 12:00,9/7/2020 12:00,6/8/2020 12:00,8/10/2020 12:00,TRIGGERED,IAD,IAD6,IAD118,ROM,IAD118ROMP06.001,8/10/2020 12:00,8/16/2020,Room Build,8/18/2020,8/17/2020
EMEA,CDG063INFP01,10/5/2020 12:00,10/5/2020 12:00,,10/5/2020 12:00,PIRPED,CDG,CDG53,CDG63,INF,CDG063INFP01.001,9/10/2020 12:00,8/16/2020,Infill Build,1/20/2021,8/17/2020
US-EAST,IAD013CONP27,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD6,IAD13,CON,IAD013CONP27.001,9/4/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
EMEA,DUB056INFP28,8/24/2020 12:00,8/24/2020 12:00,,8/10/2020 12:00,PIRPED,DUB,DUB2,DUB56,INF,DUB056INFP28.001,7/10/2020 12:00,8/16/2020,Infill Build,1/18/2021,8/17/2020
EMEA,DUB008CONP22,5/15/2020 12:00,,,,PIRPED,DUB,DUB8,DUB8,CON,DUB008CONP22.001,2/29/2020 12:00,8/16/2020,Conversion Build,5/15/2020,8/17/2020
US-WEST,PDX058INFP60,8/4/2020 12:00,,,,PIRPED,PDX,PDX4,PDX58,INF,PDX058INFP60.001,11/1/2020 12:00,8/16/2020,Infill Build,1/25/2021,8/17/2020
US-EAST,IAD091CONP04,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD12,IAD91,CON,IAD091CONP04.001,3/20/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD068INFP08,8/17/2020 12:00,8/17/2020 12:00,,8/3/2020 12:00,PIRPED,IAD,IAD62,IAD68,INF,IAD068INFP08.001,6/30/2020 12:00,8/16/2020,Infill Build,1/4/2021,8/17/2020
EMEA,FRA053RWKJ01,3/31/2020 12:00,,,,TRIGGERED,FRA,FRA53,FRA53,RWK,FRA053RWKJ01.001,3/31/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-WEST,PDX050RWKK04,1/29/2020 12:00,,,,TRIGGERED,PDX,PDX1,PDX50,RWK,PDX050RWKK04.001,2/9/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-WEST,CMH057ROMP03,11/23/2020 12:00,11/23/2020 12:00,8/24/2020 12:00,10/26/2020 12:00,TRIGGERED,CMH,CMH51,CMH57,ROM,CMH057ROMP03.001,9/28/2020 12:00,8/16/2020,Room Build,12/15/2020,8/17/2020
US-EAST,IAD057CONP05,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD12,IAD57,CON,IAD057CONP05.001,9/1/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD141ROMP02,11/30/2020 12:00,11/16/2020 12:00,8/17/2020 12:00,10/19/2020 12:00,TRIGGERED,IAD,IAD12,IAD141,ROM,IAD141ROMP02.001,8/10/2020 12:00,8/16/2020,Room Build,11/17/2020,8/17/2020
US-EAST,IAD060RWKP01,9/30/2020 12:00,,,,PENDING_PIRP,IAD,IAD6,IAD60,RWK,IAD060RWKP01.001,8/31/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD052RWKJ01,4/30/2019 12:00,,,,TRIGGERED,IAD,IAD7,IAD52,RWK,IAD052RWKJ01.001,4/30/2019 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD099CONP03,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD6,IAD99,CON,IAD099CONP03.001,9/1/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD146ROMP08,10/22/2020 12:00,10/5/2020 12:00,7/6/2020 12:00,8/31/2020 12:00,TRIGGERED,IAD,IAD12,IAD146,ROM,IAD146ROMP08.001,8/10/2020 12:00,8/16/2020,Room Build,8/29/2020,8/17/2020
US-EAST,IAD144CONP02,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD12,IAD144,CON,IAD144CONP02.001,5/31/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD055RWKF03,8/29/2019 12:00,,,,TRIGGERED,IAD,IAD55,IAD55,RWK,IAD055RWKF03.001,12/2/2018 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD079CONP21,6/15/2020 12:00,,,,PENDING_PIRP,IAD,IAD6,IAD79,CON,IAD079CONP21.001,6/15/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-WEST,PDX090ROMP10,8/31/2020 12:00,8/17/2020 12:00,5/18/2020 12:00,7/20/2020 12:00,TRIGGERED,PDX,PDX4,PDX90,ROM,PDX090ROMP10.001,8/10/2020 12:00,8/16/2020,Room Build,8/18/2020,8/17/2020
APJC,NRT012RWKP13,12/31/2020 12:00,12/31/2020 12:00,,12/31/2020 12:00,PIRPED,NRT,NRT12,NRT12,RWK,NRT012RWKP13.001,7/31/2019 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD016CONP21,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD12,IAD16,CON,IAD016CONP21.001,9/1/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD006RWKP35,9/30/2020 12:00,,,,PENDING_PIRP,IAD,IAD6,IAD6,RWK,IAD006RWKP35.001,8/31/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-WEST,GRU050RWKP01,8/14/2020 12:00,9/18/2020 12:00,,9/18/2020 12:00,PENDING_PIRP,GRU,GRU1,GRU50,RWK,GRU050RWKP01.001,8/31/2020 12:00,8/16/2020,Rework Build,,8/17/2020
APJC,BJS050CONP20,11/9/2020 12:00,,,,PENDING_PIRP,BJS,BJS11,BJS50,CON,BJS050CONP20.001,9/10/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-WEST,PDX050RWKK01,1/29/2020 12:00,,,,TRIGGERED,PDX,PDX1,PDX50,RWK,PDX050RWKK01.001,2/9/2020 12:00,8/16/2020,Rework Build,,8/17/2020
EMEA,LHR054INFP25,9/11/2020 12:00,9/11/2020 12:00,,9/11/2020 12:00,PIRPED,LHR,LHR54,LHR54,INF,LHR054INFP25.001,9/15/2020 12:00,8/16/2020,Infill Build,1/12/2021,8/17/2020
US-EAST,IAD098CONP01,1/1/2020 12:00,,,,PENDING_PIRP,IAD,IAD6,IAD98,CON,IAD098CONP01.001,6/25/2018 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD055RWKH03,11/13/2019 12:00,,,,TRIGGERED,IAD,IAD55,IAD55,RWK,IAD055RWKH03.001,11/24/2019 12:00,8/16/2020,Rework Build,,8/17/2020
EMEA,DUB050INFP37,9/11/2020 12:00,9/11/2020 12:00,,8/11/2020 12:00,PIRPED,DUB,DUB4,DUB50,INF,DUB050INFP37.001,7/31/2020 12:00,8/16/2020,Infill Build,1/4/2021,8/17/2020
US-WEST,PDX050RWKM03,2/26/2020 12:00,,,,TRIGGERED,PDX,PDX1,PDX50,RWK,PDX050RWKM03.001,12/13/2019 12:00,8/16/2020,Rework Build,,8/17/2020
MVP,DCA051RWKP04,12/30/2020 12:00,,,,PENDING_PIRP,DCA,DCA51,DCA51,RWK,DCA051RWKP04.001,12/30/2020 12:00,8/16/2020,Rework Build,,8/17/2020
EMEA,FRA060INFP13,9/18/2020 12:00,9/18/2020 12:00,,9/18/2020 12:00,PIRPED,FRA,FRA54,FRA60,INF,FRA060INFP13.001,9/20/2020 12:00,8/16/2020,Infill Build,1/25/2021,8/17/2020
US-EAST,IAD051RWKP85,9/30/2020 12:00,,,,PENDING_PIRP,IAD,IAD12,IAD51,RWK,IAD051RWKP85.001,8/31/2020 12:00,8/16/2020,Rework Build,,8/17/2020
APJC,SYD070CONP22,11/9/2020 12:00,,,,PENDING_PIRP,SYD,SYD7,SYD70,CON,SYD070CONP22.001,7/17/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD050CONP20,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD6,IAD50,CON,IAD050CONP20.001,9/1/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD064CONP22,11/9/2020 12:00,,,,PIRPED,IAD,IAD55,IAD64,CON,IAD064CONP22.001,5/15/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD055CONP15,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD55,IAD55,CON,IAD055CONP15.001,9/1/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
EMEA,CPT060INFP02,9/11/2020 12:00,9/11/2020 12:00,,9/11/2020 12:00,PIRPED,CPT,CPT60,CPT60,INF,CPT060INFP02.001,9/11/2020 12:00,8/16/2020,Infill Build,1/4/2021,8/17/2020
US-EAST,IAD050CONP24,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD6,IAD50,CON,IAD050CONP24.001,5/31/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD014INFP11,9/4/2020 12:00,9/4/2020 12:00,,9/4/2020 12:00,PIRPED,IAD,IAD7,IAD14,INF,IAD014INFP11.001,12/21/2018 12:00,8/16/2020,Infill Build,1/4/2021,8/17/2020
APJC,ICN054COLP17,12/11/2020 12:00,11/13/2020 12:00,8/14/2020 12:00,10/16/2020 12:00,TRIGGERED,ICN,ICN54,ICN54,COL,ICN054COLP17.001,10/19/2020 12:00,8/16/2020,Colo Room Build,12/29/2020,8/17/2020
US-EAST,IAD151ROMP02,10/12/2020 12:00,10/12/2020 12:00,7/13/2020 12:00,8/31/2020 12:00,TRIGGERED,IAD,IAD1,IAD151,ROM,IAD151ROMP02.001,8/10/2020 12:00,8/16/2020,Room Build,10/6/2020,8/17/2020
US-EAST,IAD095ROMP13,11/20/2020 12:00,11/6/2020 12:00,5/1/2020 12:00,10/9/2020 12:00,TRIGGERED,IAD,IAD7,IAD95,ROM,IAD095ROMP13.001,8/10/2020 12:00,8/16/2020,Room Build,5/22/2020,8/17/2020
US-WEST,PDX050RWKL03,2/22/2020 12:00,,,,TRIGGERED,PDX,PDX1,PDX50,RWK,PDX050RWKL03.001,2/9/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD006RWKO03,9/30/2020 12:00,,,,TRIGGERED,IAD,IAD6,IAD6,RWK,IAD006RWKO03.001,10/11/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD014RWKN07,8/23/2020 12:00,,,,TRIGGERED,IAD,IAD7,IAD14,RWK,IAD014RWKN07.001,6/9/2020 12:00,8/16/2020,Rework Build,,8/17/2020
US-EAST,IAD075CONP21,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD7,IAD75,CON,IAD075CONP21.001,8/20/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD099CONP01,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD6,IAD99,CON,IAD099CONP01.001,6/1/2019 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
US-EAST,IAD012CONP27,11/9/2020 12:00,,,,PENDING_PIRP,IAD,IAD12,IAD12,CON,IAD012CONP27.001,8/20/2020 12:00,8/16/2020,Conversion Build,11/9/2020,8/17/2020
EMEA,DUB066ROMP06,9/7/2020 12:00,9/1/2020 12:00,6/2/2020 12:00,8/1/2020 12:00,TRIGGERED,DUB,DUB2,DUB66,ROM,DUB066ROMP06.001,8/10/2020 12:00,8/16/2020,Room Build,9/18/2020,8/17/2020
US-WEST,SFO008RWKI02,3/23/2020 12:00,,,,TRIGGERED,SFO,SFO8,SFO8,RWK,SFO008RWKI02.001,12/31/2019 12:00,8/16/2020,Rework Build,,8/17/2020
